episode,success_count,bug_count,state_coverage,action_diversity,episode_time,fps,cpu_percent,mem_mb,timestamp
1,3,0,151,1,81.99116802215576,3.0491088983199344,0.0,1169.15625,1747068557.0832968
2,5,0,158,1,81.33233165740967,3.0738083478665903,2.3,1169.859375,1747068638.438632
3,4,0,163,1,82.53549647331238,3.0289997720052098,2.3,1170.18359375,1747068720.9936361
4,5,0,162,1,84.40256237983704,2.9619953820231717,2.7,1170.8515625,1747068805.42171
5,1,0,163,1,90.1617660522461,2.7727939563110637,3.1,1171.39453125,1747068895.6375434
